日期,代號,名稱,分級,持股人數,週增減人數,持股比%,持股比增減%
2026/06/05,2330,台積電,50~100張,3997,15,1.07,0.0
2026/06/05,2330,台積電,5~10張,49448,-97,1.36,-0.01
2026/06/05,2330,台積電,600~800張,348,2,0.92,0.0
2026/06/05,2330,台積電,800~1000張,209,-3,0.72,-0.01
2026/06/05,2330,台積電,千張大戶,1499,1,85.42,0.01
2026/06/05,2330,台積電,零股散戶,2160807,10842,0.98,0.0
2026/06/12,2330,台積電,100~200張,1995,-5,1.07,0.0
2026/06/12,2330,台積電,10~15張,16669,174,0.78,0.0
2026/06/12,2330,台積電,15~20張,7840,132,0.53,0.01
2026/06/12,2330,台積電,1~5張,434344,13060,3.19,0.09
2026/06/12,2330,台積電,200~400張,1325,4,1.42,0.0
2026/06/12,2330,台積電,20~30張,7544,102,0.71,0.01
2026/06/12,2330,台積電,30~40張,3550,41,0.47,0.01
2026/06/12,2330,台積電,400~600張,554,-9,1.04,-0.02
2026/06/12,2330,台積電,40~50張,2027,9,0.35,0.0
2026/06/12,2330,台積電,50~100張,4028,31,1.08,0.01
2026/06/12,2330,台積電,5~10張,50588,1140,1.39,0.03
2026/06/12,2330,台積電,600~800張,344,-4,0.91,-0.01
2026/06/12,2330,台積電,800~1000張,223,14,0.76,0.04
2026/06/12,2330,台積電,千張大戶,1482,-17,85.18,-0.24
2026/06/12,2330,台積電,零股散戶,2314613,153806,1.03,0.05
