rank,代號,名稱,收盤,市值億
173,8109,博大科技,122.5,100.6
174,6907,雅特力-KY,160.0,100.0
175,1264,德麥,269.5,99.8
176,7728,光焱科技,715.0,99.0
177,2035,唐榮公司,28.25,98.9
178,6263,普萊德,158.0,98.8
179,3093,港建*,67.7,98.3
180,6945,圓祥生技,100.0,97.0
181,3479,安勤,133.0,96.6
182,6104,創惟科技,105.5,96.1
183,6509,聚和國際,48.45,95.2
184,6208,日揚科技,100.5,94.9
185,4953,緯軟,128.5,94.0
186,6811,宏碁資訊,226.5,93.9
187,3086,華義*,34.3,93.5
188,3611,鼎翰科技,194.5,92.5
189,5328,華容,52.9,91.4
190,6227,茂綸,119.5,91.0
191,8234,新漢,64.3,90.8
192,3483,力致科技,91.1,90.2
193,8927,北基國際,21.25,90.0
194,3663,鑫科,82.9,89.9
195,6894,衛司特,377.5,89.8
196,5287,數字,148.0,89.2
197,2640,大車隊,150.5,89.2
198,4128,中天生技,15.1,88.8
199,6180,橘子,50.3,88.3
200,6127,九豪精密,81.0,87.5
201,4129,聯合骨科,90.1,86.9
202,5511,德昌營造,76.2,86.4
203,8349,恒耀,40.95,85.5
204,4707,磐亞,21.1,85.2
205,6763,綠界科技*,46.25,85.1
206,8917,欣泰,51.9,84.4
207,6617,共信-KY,65.9,84.0
208,4162,智擎,57.6,83.9
209,8938,明安國際,53.0,83.2
210,6996,力領科技,197.5,82.9
211,6732,昇佳電子,169.5,82.9
212,8942,森鉅科技,41.65,82.8
213,3317,尼克森,92.0,82.8
214,3581,博磊,162.0,82.6
215,6654,天正國際,199.0,81.5
216,3555,博士旺,202.0,80.8
217,4107,邦特生技,116.5,80.7
218,6785,昱展新藥,120.0,80.2
219,6186,新潤興業,40.6,79.1
220,4419,皇家美食,46.45,78.6
221,7556,意德士,282.0,77.8
222,3577,泓格科技,121.0,77.4
223,6143,振曜科技,89.1,76.7
224,5392,能率,43.35,76.5
225,3558,神準,129.0,76.2
226,7777,能率亞洲,41.5,75.7
227,3213,茂訊電腦,129.0,75.7
228,6741,91APP*-KY,62.5,75.4
229,5263,智崴,99.8,73.8
230,8227,巨有科技,186.5,73.7
231,8076,伍豐科技,25.2,73.6
232,6163,華電聯網,49.3,73.2
233,6015,宏遠證券,18.6,73.1
234,5403,中菲,93.5,73.1
235,6761,穩得,208.0,72.7
236,3498,陽程,118.5,72.6
237,4721,美琪瑪,96.5,72.4
238,3169,亞信電子,114.5,72.2
239,1268,漢來美食,169.5,71.6
240,4205,中華食品,73.2,71.5
241,5278,尚凡*,23.65,71.0
242,6499,益安,73.0,70.8
243,5457,宣德,36.0,70.7
244,6953,家碩,235.0,70.5
245,7703,銳澤,203.0,70.5
246,2729,瓦城,163.5,70.4
247,6983,華洋精機,381.0,68.7
248,3388,崇越電通,88.2,68.5
249,1569,濱川企業,47.3,68.2
250,5474,聰泰科技,171.0,68.0
251,8383,千附實業,59.6,67.8
252,3630,新鉅科,32.9,67.2
253,6026,福邦證,16.95,67.1
254,6265,方土昶,56.6,66.9
255,5299,杰力,130.0,66.2
256,4163,鐿鈦,129.5,65.7
257,8916,光隆,43.65,65.6
258,7712,博盛半導體,200.0,65.1
259,3236,千如電機,61.0,64.0
260,8074,鉅橡,73.0,63.5
261,5464,霖宏科技,89.1,63.3
262,6199,天品,101.5,62.7
263,3290,東浦,68.9,62.1
264,6870,騰雲,262.5,61.4
265,8044,網路家庭,29.65,61.0
266,5512,力麒建設,7.92,60.7
267,8147,正淩,145.0,60.5
268,1580,新麥,122.5,60.4
269,8111,立碁電子,55.3,60.3
270,4166,友霖,24.8,60.3
271,8083,瑞穎,171.5,60.2
272,4157,太景*-KY,8.46,60.2
273,2641,正德,18.15,60.0
274,6877,鏵友益,127.0,59.6
275,4167,松瑞藥,19.1,59.3
276,4549,桓達,104.0,59.3
277,8099,大世科,59.2,59.2
278,4939,亞電,60.0,58.9
279,3548,兆利科技,86.8,58.8
280,5381,光譜,28.2,58.6
281,3221,台灣嘉碩,55.6,58.4
282,4126,太平洋醫,80.1,58.1
283,6762,達亞,165.0,58.0
284,1788,杏昌生技,130.0,57.9
285,5312,寶島科,96.3,57.8
286,5489,彩富電子,56.3,57.8
287,6220,岳豐科技,39.35,57.6
288,6020,大展證券,22.8,57.5
289,6841,長佳智能,60.0,57.1
290,8240,華宏新技,57.0,57.0
291,3141,晶宏,75.1,56.7
292,6203,海韻電子,68.0,56.0
293,4933,友輝,67.5,55.8
294,3303,岱稜,59.0,55.5
295,6124,業強科技,30.35,55.4
296,6568,宏觀,178.0,54.9
297,6417,韋僑,129.5,54.7
298,6859,伯特光,130.0,54.1
299,6913,鴻呈,123.0,53.9
300,2755,揚秦,143.0,53.4
301,5426,振發實業,37.0,53.2
302,6651,全宇昕,153.0,52.9
303,6895,宏碩系統,155.0,52.9
304,6690,安碁資訊,176.0,52.8
305,6538,倉和,138.0,52.5
306,6101,寬魚國際,45.5,52.1
307,4577,達航科技,105.5,51.8
308,3219,倚強科,72.0,51.7
309,8931,大園汽電,42.1,51.5
310,4974,亞泰,70.7,51.2
311,6126,信音企業,39.4,51.1
312,3294,英濟,38.6,51.0
313,5452,佶優科技,34.2,50.9
314,4726,永昕,24.5,50.8
315,6170,統振,52.1,50.7
316,8182,加高電子,47.3,50.6
317,3430,奇鈦科,149.0,50.2
318,5209,新鼎系統,174.0,49.7
319,5520,力泰建設,82.7,49.6
320,3552,同致電子,50.3,49.2
321,3546,宇峻奧汀,83.9,49.0
322,6922,宸曜,180.0,48.9
323,6546,正基,73.0,48.8
324,3310,佳穎精密,65.1,48.8
325,8416,實威,172.5,48.7
326,4510,高鋒工業,44.55,48.5
327,3594,磐儀,50.5,48.5
328,6179,亞通利大,27.2,48.2
329,6498,久禾光,101.5,47.9
330,4907,富宇地產,40.5,47.8
331,6111,光聚晶電,43.75,47.7
332,2752,豆府,178.5,47.6
333,6875,國邑*,36.7,47.4
334,3556,禾瑞亞,74.4,47.4
335,8924,大田精密,56.3,47.2
336,5523,豐謙,30.4,47.1
337,1565,精華光學,93.3,47.0
338,4533,協易機械,29.35,46.5
339,7738,東聯互動,169.5,46.4
340,3176,基亞,33.15,46.2
341,8446,華研,87.2,46.1
342,6234,高僑,45.9,46.1
343,3537,堡達,81.2,45.7
344,1584,精剛精密,19.35,45.0
345,3207,耀勝電子,67.7,45.0
346,6577,勁豐,74.8,44.9
347,4909,新復興,48.05,44.9
348,4303,信立,47.2,44.6
349,1595,川寶,82.0,44.6
350,6735,美達科技,96.3,44.5
351,3188,鑫龍騰,23.45,44.2
352,6569,醫揚,112.5,44.0
353,6629,泰金-KY,114.5,43.9
354,2718,全心投控,50.0,43.8
355,6523,達爾膚,97.1,43.7
356,7820,立盈,115.0,43.4
357,6275,元山科技,53.0,42.5
358,6720,久昌,140.5,42.5
359,8289,泰藝電子,61.2,41.8
360,8088,品安科技,68.2,41.5
361,7810,捷創科技,205.0,41.5
362,6485,點序,87.6,41.5
363,6486,互動,81.4,41.4
364,3444,利機企業,91.8,41.3
365,3372,典範,23.5,41.2
366,4903,聯光通信,39.0,41.1
367,3484,崧騰,52.0,41.0
368,5410,國眾電腦,44.4,41.0
369,6603,富強鑫,24.3,40.7
370,4417,金洲製網,47.5,39.9
371,5206,坤悅開發,23.2,39.8
372,6266,泰詠電子,25.7,39.5
373,6425,易發,77.5,39.5
374,6221,晉泰科技,23.4,39.5
375,5493,三聯科技,90.0,39.3
376,8183,台灣精星,32.35,39.2
377,4120,友華生技,45.0,39.0
378,9951,皇田工業,53.2,39.0
379,8097,常珵科技,60.8,38.8
380,4174,浩鼎,29.4,38.7
381,4580,捷流閥業,82.4,38.6
382,4207,環泰企業,19.4,38.5
383,3615,安可光電,56.1,38.4
384,6492,生華科,42.6,38.3
385,1799,易威,30.6,38.1
386,3580,友威科,96.4,38.0
387,8048,德勝科技,65.6,37.9
388,5465,富驊企業,25.5,37.6
389,3071,協禧電機,34.0,37.4
390,7709,榮田,95.4,37.3
391,7772,耀穎,140.0,37.1
392,5013,強新工業,27.75,37.0
393,6752,叡揚,99.3,36.9
394,6237,驊訊電子,46.3,36.9
395,4113,聯上實業,15.95,36.9
396,6122,擎邦國際,46.8,36.5
397,7402,邑錡,103.0,36.3
398,6703,軒郁,110.0,36.3
399,3205,佰研生化,53.5,36.1
400,2745,五福,106.0,35.8
401,3438,類比科,75.4,35.6
402,6596,寬宏藝術,93.4,35.5
403,1784,訊聯,66.8,35.5
404,6881,潤德,236.0,35.4
405,6198,瑞築,20.6,35.3
406,8905,裕國,29.5,35.2
407,6588,東典光電,101.5,35.2
408,3323,加百裕,35.35,35.1
409,3666,光耀,25.15,34.9
410,8084,巨虹電子,50.0,34.8
411,4130,健亞,25.1,34.6
412,7747,昕奇雲端,126.0,34.5
413,4951,精拓科,100.0,34.1
414,6612,奈米醫材,71.8,34.1
415,6532,瑞耘,90.5,33.9
416,5604,中連,31.05,33.8
417,2061,風青,58.0,33.3
418,5514,三豐建設,14.0,33.0
419,6728,上洋,109.5,33.0
420,6516,勤崴國際,58.4,32.9
421,3441,聯一光,82.1,32.9
422,4541,晟田,48.5,32.8
423,8059,凱碩,16.9,32.8
424,6642,富致,87.6,32.8
425,7713,威力德生醫,71.8,32.6
426,3628,盈正,72.0,32.4
427,8049,晶采光電,27.3,32.3
428,6465,威潤,68.5,32.2
429,6733,博晟生醫,24.0,32.2
430,5902,德記洋行,33.9,32.0
431,1777,生泰合成,71.7,32.0
432,2754,亞洲藏壽司,68.1,31.9
433,6530,創威,94.4,31.9
434,2743,山富,68.0,31.8
435,5432,新門,153.0,31.6
436,3226,龍鋒,49.0,31.6
437,2066,世德,71.0,31.6
438,8284,三竹,65.8,31.1
439,3114,好德科技,47.8,31.1
440,6129,普誠科技,17.2,31.1
441,3332,幸康電子,64.4,31.0
442,4556,旭然,73.1,30.9
443,3339,泰谷光電,46.4,30.9
444,3527,聚積,69.1,30.7
445,6716,應廣,101.5,30.7
446,3178,公準,67.9,30.6
447,6150,撼訊科技,63.2,30.6
448,4527,方土霖,39.9,30.4
449,3570,大塚資訊,177.0,30.3
450,3224,三顧,38.55,30.1
451,6609,瀧澤科技,41.45,30.0
452,2596,綠意開發,30.0,30.0
453,2732,六角,64.2,29.9
454,3230,錦明實業,34.45,29.6
455,8342,益張,88.2,29.6
456,6161,捷波資訊,52.5,29.5
457,4127,天良,64.0,29.3
458,4503,金雨企業,37.05,29.0
459,6292,迅德興業,62.2,29.0
460,5227,立凱-KY,42.6,29.0
461,6212,理銘科技,28.0,28.6
462,8433,弘帆,52.3,28.5
463,2070,精湛,68.1,28.4
464,1780,立弘,26.0,28.4
465,5356,協益電子,27.5,28.3
466,4168,醣聯,25.0,28.1
467,6134,萬旭電業,34.35,28.1
468,4534,慶騰精密,32.4,28.1
469,4714,永捷,12.5,27.7
470,3631,晟楠,33.85,27.7
471,6270,倍微科技,38.3,27.6
472,6156,松上,25.6,27.6
473,3284,太普高,25.4,27.6
474,5324,士林開發,12.15,27.5
475,6855,數泓科,118.0,27.4
476,6204,台灣艾華,118.5,27.4
477,1586,和勤,20.65,27.2
478,7714,創泓科技,129.5,27.2
479,5490,同亨科技,28.2,27.1
480,6461,益得,15.2,27.1
481,6684,安格,60.5,26.9
482,2916,滿心企業,41.6,26.9
483,3564,其陽,45.45,26.9
484,8431,匯鑽科,55.0,26.8
485,8403,盛弘,19.25,26.5
486,7811,民盛,79.1,26.4
487,6123,上奇科技,42.25,26.2
488,8279,生展,95.6,25.9
489,1240,茂生農經,58.4,25.8
490,6218,豪勉科技,40.1,25.8
491,3313,斐成,11.6,25.6
492,3158,嘉實,83.6,25.5
493,5321,美而快,47.9,25.5
494,6432,今展科,74.0,25.4
495,6423,億而得,81.7,25.3
496,6574,霈方,114.0,25.1
497,8038,長園科,40.2,25.0
498,6899,創為精密,59.0,25.0
499,5291,邑昇,62.7,25.0
500,3466,德晉,32.1,25.0
501,8424,惠普,69.3,25.0
502,4706,大恭化學,31.5,24.9
503,3685,元創精密,31.2,24.8
504,3083,中華網龍,28.6,24.7
505,3306,鼎天國際,48.7,24.6
506,5315,光聯科技,23.05,24.5
507,5210,寶碩,29.8,24.5
508,6844,諾貝兒,65.4,24.5
509,6174,安碁科技,48.95,24.5
510,5228,鈺鎧,64.3,24.5
511,4561,健椿,41.55,24.3
512,6171,大城地產,24.25,24.2
513,4305,世坤塑膠,44.05,24.2
514,8171,天宇,21.45,24.2
515,1294,漢田生技,78.7,24.1
516,5353,台林電通,31.55,23.9
517,8032,光菱電子,46.1,23.9
518,6982,大井泵浦,58.6,23.9
519,3390,旭軟電子,29.95,23.8
520,7708,全家餐飲,93.0,23.7
521,4747,強生,52.1,23.7
522,7757,金色三麥,98.1,23.6
523,8935,邦泰,20.7,23.5
524,5905,南仁湖,8.28,23.3
525,2643,捷迅,66.2,23.2
526,3687,歐買尬,77.0,23.1
527,3171,炎洲流通,69.7,23.1
528,4563,百德,41.8,23.0
529,6517,保勝光學,75.1,23.0
530,3512,皇龍,20.2,22.8
531,6904,伯鑫,123.0,22.8
532,5011,久陽精密,22.6,22.8
533,3521,台鋼建設,12.15,22.6
534,8930,青鋼,27.5,22.5
535,6151,晉倫科技,40.6,22.4
536,4175,杏一,52.9,22.4
537,3206,志豐電子,37.8,22.3
538,5529,鉅陞,21.0,22.2
539,5302,太欣半導,13.85,22.1
540,4543,萬在,36.95,22.1
541,4513,福裕事業,16.25,21.8
542,6823,濾能,71.5,21.8
543,7718,友鋮,46.85,21.7
544,6494,九齊,68.6,21.6
545,6185,幃翔精密,14.4,21.6
546,7704,明遠精密,63.7,21.5
547,2937,集雅社,49.35,21.5
548,6791,虎門科技,103.0,21.5
549,4923,力士,63.3,21.4
550,5438,東友,19.05,21.4
551,2065,世豐,33.7,21.4
552,5468,凱鈺科技,36.3,21.4
553,4741,泓瀚,61.4,21.4
554,6821,聯寶,64.9,21.3
555,3540,曜越,25.15,21.2
556,2949,欣新網,69.0,21.1
557,6968,萬達寵物,42.7,21.1
558,2221,大甲,49.7,21.0
559,6508,惠光,24.25,21.0
560,1570,力肯實業,40.6,20.9
561,4716,大立,22.05,20.8
562,4535,至興精機,27.5,20.8
563,3467,台灣精材,66.8,20.8
564,5601,台聯貨櫃,32.0,20.7
565,4905,台聯電訊,70.7,20.7
566,6233,旺玖科技,25.45,20.6
567,7642,昶瑞機電,68.3,20.6
568,6556,勝品,71.6,20.6
569,6597,立誠,68.5,20.6
570,3489,森寶,22.6,20.4
571,6419,京晨科,155.0,20.4
572,3508,位速,19.5,20.3
573,4138,曜亞國際,50.8,20.3
574,5014,建錩實業,11.0,20.1
575,3066,李洲科技,24.25,20.1
576,6840,東研信超,65.3,20.1
577,3322,建舜電子,14.6,20.1
578,8047,星雲電腦,47.8,19.9
579,6222,立軒,20.75,19.9
580,4911,德英,31.1,19.8
581,3354,律勝,28.2,19.8
582,6474,華豫寧,37.6,19.7
583,6542,隆中,46.95,19.7
584,7547,碩網,58.5,19.7
585,6028,公勝保經,78.5,19.6
586,6570,維田,52.8,19.6
587,3285,微端,45.65,19.5
588,4995,晶達,45.75,19.5
589,4523,永彰,29.9,19.4
590,8432,東生華,50.4,19.4
591,3511,矽瑪科技,24.0,19.2
592,6874,倍力,85.8,18.9
593,1259,安心,58.0,18.8
594,6470,宇智,49.8,18.8
595,8080,泰霖,27.9,18.7
596,6527,明達醫,73.3,18.7
597,8435,鉅邁,53.0,18.6
598,5450,南良,15.15,18.5
599,3625,西勝,16.0,18.3
600,6248,沛波,18.25,18.2
601,6846,綠茵,67.3,18.2
602,7842,天能綠電,99.4,18.1
603,4729,熒茂光學,22.75,18.0
604,4111,濟生,30.0,17.9
605,5455,昇益,27.4,17.9
606,3490,單井,32.5,17.9
607,2230,泰茂,26.2,17.8
608,6167,久正光電,12.15,17.7
609,6967,汎瑋材料,70.8,17.6
610,9950,萬國通路,10.5,17.6
611,4153,鈺緯,29.9,17.5
612,3710,連展投控,6.07,17.4
613,3684,榮昌,57.4,17.4
614,2719,燦星旅,25.05,17.3
615,4401,東隆興業,14.1,17.3
616,8085,福華電子,12.25,17.1
617,6637,醫影,63.8,17.1
618,1599,宏佳騰,23.3,17.0
619,1295,生合,49.3,17.0
620,6590,普鴻,68.0,17.0
621,2947,振宇五金,78.7,16.9
622,4442,竣邦-KY,52.3,16.9
623,4116,明基醫,37.75,16.8
624,8102,傑霖科技,71.0,16.6
625,6997,博弘,74.9,16.6
626,8071,能率網通,27.0,16.2
627,6219,富旺,12.95,16.2
628,8401,白紗科技,22.85,16.1
629,2926,誠品生活,34.0,16.1
630,5212,凌網科技,46.05,15.9
631,6118,建達國際,17.45,15.9
632,3516,亞帝歐,26.45,15.8
633,6113,亞矽科技,29.85,15.7
634,8068,全達國際,19.35,15.6
635,5603,陸海交通,14.8,15.5
636,5481,新華,21.65,15.4
637,6506,雙邦實業,18.7,15.4
638,6194,育富電子,31.95,15.3
639,6692,進能服,26.05,15.3
640,6649,台生材,36.45,15.3
641,4744,皇將,26.85,15.3
642,6148,驊宏資通,32.6,15.2
643,8933,愛地雅,4.65,15.2
644,8941,關中,43.0,15.0
645,8472,夠麻吉,83.9,14.9
646,3287,廣寰科,33.75,14.8
647,2756,聯發國際,60.0,14.8
648,6961,旅天下,54.7,14.7
