rank,代號,名稱,收盤,市值億
760,6259,百徽,36.15,10.1
761,3609,三一東林,26.35,10.1
762,5547,久舜,22.3,10.1
763,3597,映興,25.55,10.0
764,4806,桂田文創,10.0,10.0
765,3272,東碩,16.3,10.0
766,8277,商丞科技,10.85,9.9
767,4171,瑞基,17.0,9.9
768,5878,台名,39.2,9.8
769,4430,耀億,17.35,9.8
770,3567,逸昌,28.7,9.7
771,6767,台微醫,24.7,9.7
772,6158,禾昌興業,17.3,9.6
773,4972,湯石照明,16.9,9.6
774,2064,晉椿,13.75,9.5
775,2736,富野,11.9,9.5
776,4946,紅心辣椒,106.0,9.4
777,4558,寶緯,18.4,9.2
778,4950,金耘國際,15.9,9.2
779,4550,長佳,24.25,9.2
780,3646,艾恩特,23.3,9.2
781,6624,萬年清,40.5,9.1
782,4502,健信科技,15.85,9.1
783,5460,同協電子,15.45,9.1
784,4198,欣大健康,37.5,9.0
785,8107,大億金茂,11.85,8.9
786,2924,宏太-KY,17.05,8.9
787,2734,易飛網,15.45,8.8
788,7794,宏碁智新,31.45,8.8
789,9962,有益鋼鐵,9.76,8.8
790,3252,海灣,17.45,8.8
791,3191,雲嘉南,20.0,8.7
792,3073,天方能源,22.05,8.7
793,8291,尚茂,49.8,8.7
794,4530,宏易,24.1,8.6
795,5398,慕康生醫,17.3,8.6
796,4767,誠泰科技,27.2,8.5
797,6910,德鴻,27.85,8.5
798,5220,萬達光電,21.25,8.4
799,3349,寶德,18.2,8.4
800,8921,沈氏印刷,17.95,8.4
801,6482,弘煜科,28.8,8.2
802,6264,富裔,6.03,8.2
803,3085,新零售,11.9,8.2
804,6615,慧智,37.7,8.1
805,3499,環天科技,14.7,8.1
806,8092,建暐精密,14.1,8.1
807,4102,永日化工,19.0,8.1
808,8450,霹靂,15.65,8.0
809,3492,長盛,22.55,8.0
810,4432,銘旺實,15.8,8.0
811,3373,熱映光電,16.7,8.0
812,4554,橙的,30.2,8.0
813,6236,中湛,19.0,7.9
814,3268,海德威,22.4,7.8
815,6804,明係,16.35,7.8
816,6662,樂斯科,29.5,7.5
817,3623,富晶通,25.6,7.5
818,4416,三圓建設,10.1,7.4
819,8423,保綠-KY,17.8,7.4
820,7743,金利食安,20.35,7.4
821,4192,杏國,20.9,7.3
822,5276,達輝-KY,18.35,7.2
823,4702,中美實,10.0,7.2
824,5701,劍湖山,5.05,7.2
825,6210,慶生電子,20.6,7.2
826,8421,旭源,13.15,7.2
827,8176,智捷,10.05,7.2
828,2724,藝舍-KY,11.95,7.1
829,6294,智基科技,27.3,7.1
830,8455,大拓-KY,28.0,7.1
831,6241,鑫永洋,14.45,7.0
832,2073,雄順,25.5,7.0
833,5487,通泰,28.65,6.9
834,8929,富堡工業,13.65,6.9
835,5310,天剛資訊,23.3,6.7
836,4188,安克,10.55,6.7
837,3115,富榮綱,9.0,6.5
838,7839,達人網,43.0,6.5
839,7782,光速火箭,26.9,6.2
840,8024,佑華微電,13.75,6.2
841,8444,綠河-KY,5.51,6.1
842,6884,海柏特,33.25,6.1
843,5211,蒙恬科技,18.95,6.1
844,8409,商之器,18.9,6.0
845,8923,時報出版,19.8,6.0
846,6246,臺龍電子,15.25,5.8
847,7716,昱臺國際,25.3,5.7
848,2941,米斯特,36.8,5.7
849,6144,得利影視,14.65,5.6
850,5516,雙喜,10.85,5.6
851,1813,寶利徠,11.95,5.6
852,5364,力麗店,8.66,5.5
853,8066,來思達,15.05,5.5
854,1781,合世生醫,11.6,5.5
855,3629,地心引力,16.6,5.5
856,3664,安瑞-KY,7.5,5.4
857,3672,康聯訊,13.05,5.3
858,4406,新昕纖維,9.9,5.1
859,6276,安鈦克,23.0,5.1
860,6228,全譜科技,19.45,5.0
861,6512,啟發電,19.9,5.0
862,4924,欣厚-KY,13.5,5.0
863,4413,飛寶企業,16.0,5.0
864,2740,華軒,29.45,4.9
865,4154,樂威科-KY,12.75,4.9
866,8437,大地-KY,10.2,4.8
867,7584,樂意,29.1,4.8
868,8349A,恒耀甲特,47.25,4.7
869,5301,寶得利,6.8,4.5
870,6103,合邦電子,32.0,4.3
871,6865,偉康科技,26.8,4.2
872,6661,威健生技,17.6,4.1
873,6240,松崗,17.75,4.0
874,4529,淳紳,4.72,4.0
875,3095,及成,39.0,3.9
876,3288,點晶科技,23.3,3.8
877,2726,雅茗-KY,9.83,3.7
878,3067,全域,18.55,3.7
879,6169,昱泉國際,15.25,3.6
880,4183,福永生技,13.9,3.3
881,6616,特昇-KY,9.15,3.2
882,3632,研勤科技,7.9,3.2
883,5205,中茂,23.25,3.1
884,2067,嘉鋼,6.52,2.9
885,8067,志旭國際,13.0,2.7
886,3064,泰偉電子,20.0,2.6
887,5348,正能量智能,16.5,2.4
888,4609,唐鋒實業,4.51,2.2
