代號,分類,最新月份,最新月年增%,近36月可比基數,近36月成長月數,近36月成長比率%,近12月成長,近12月樣態,連續成長月數,近36月平均年增%
6592,🔴 轉弱/衰退,2026/05,-2.8,36,14,38.9,0/12,✗✗✗✗✗✗✗✗✗✗✗✗,0,-0.9
6197,🟢 全期強勢,2026/05,41.8,36,34,94.4,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,12,24.4
2504,🟡 中性,2026/05,-6.1,36,19,52.8,6/12,✔✔✗✔✗✔✔✔✗✗✗✗,0,1.1
2498,🔴 轉弱/衰退,2026/05,-22.0,36,9,25.0,2/12,✗✗✔✗✗✗✗✔✗✗✗✗,0,-11.3
9939,🔵 多數成長,2026/05,10.8,36,25,69.4,6/12,✔✔✗✔✗✗✗✔✗✗✔✔,2,4.7
8070,🔵 多數成長,2026/05,26.3,36,24,66.7,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,4.5
5234,🔵 多數成長,2026/05,10.8,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,19,11.6
7751,— 資料不足/新上市
2211,🔵 多數成長,2026/05,25.0,36,24,66.7,7/12,✗✔✔✔✔✔✗✗✗✔✗✔,1,17.8
9933,🟡 中性,2026/05,-2.6,36,17,47.2,0/12,✗✗✗✗✗✗✗✗✗✗✗✗,0,-1.7
3376,🟡 中性,2026/05,-16.7,36,17,47.2,0/12,✗✗✗✗✗✗✗✗✗✗✗✗,0,3.5
8422,🟡 中性,2026/05,199.6,36,15,41.7,5/12,✗✔✗✔✔✗✗✗✗✔✗✔,1,5.2
8039,🔵 多數成長,2026/05,0.6,36,27,75.0,7/12,✗✗✗✔✔✔✔✔✗✔✗✔,1,13.9
2428,🔵 多數成長,2026/05,29.7,36,23,63.9,8/12,✔✗✗✔✔✔✗✔✗✔✔✔,3,5.5
7892,— 資料不足/新上市
6412,🔴 轉弱/衰退,2026/05,-10.2,36,13,36.1,1/12,✗✗✗✗✗✗✗✔✗✗✗✗,0,-4.0
8415,🔴 轉弱/衰退,2026/05,20.7,36,14,38.9,10/12,✔✔✗✔✔✗✔✔✔✔✔✔,6,-1.7
2015,🔴 轉弱/衰退,2026/05,-8.3,36,10,27.8,1/12,✗✗✗✗✗✗✗✔✗✗✗✗,0,-7.2
8932,🟢 全期強勢,2026/05,3.6,36,35,97.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,35,56.4
1736,🟢 全期強勢,2026/05,2.0,36,35,97.2,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,18.2
2329,🔵 多數成長,2026/05,3.7,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,13.8
4915,🔴 轉弱/衰退,2026/05,12.7,36,14,38.9,9/12,✗✔✗✔✔✔✔✔✗✔✔✔,3,-2.7
