代號,名稱,股數,權重
2330,台積電,12000000,17.19
3017,奇鋐,3150000,6.25
3037,欣興,8460000,5.93
2383,台光電,1600000,5.23
2454,聯發科,2110000,4.85
3653,健策,1087000,3.65
2303,聯電,50000000,3.52
6223,旺矽,1100000,3.33
2327,國巨*,9785000,3.23
2308,台達電,2880000,3.03
3008,大立光,700000,2.88
2345,智邦,2307000,2.87
6669,緯穎,660000,2.67
3711,日月光投控,7000000,2.52
3189,景碩,4550000,2.47
3443,創意,621000,2.19
8046,南電,2640000,2.03
2344,華邦電,15000000,1.66
6274,台燿,1900000,1.63
5274,信驊,179500,1.63
6488,環球晶,2800000,1.59
3665,貿聯-KY,1200000,1.47
1303,南亞,10378000,1.4
8996,高力,1737000,1.35
6805,富世達,936000,1.24
2360,致茂,1000000,1.18
6239,力成,5360000,0.88
7769,鴻勁,130000,0.49
2317,鴻海,3200000,0.48
3211,順達,2000000,0.47
3583,辛耘,800000,0.36
2337,旺宏,4500000,0.34
2059,川湖,35000,0.3
3533,嘉澤,250000,0.24
8358,金居,800000,0.23
6442,光聖,225000,0.21
2404,漢唐,250000,0.16
3450,聯鈞,400000,0.14
1560,中砂,300000,0.12
1717,長興,2500000,0.11
3264,欣銓,700000,0.09
4966,譜瑞-KY,220000,0.08
6285,啟碁,350000,0.05
2455,全新,200000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
4958,臻鼎-KY,1000,0.0
2049,上銀,1000,0.0
5347,世界,1000,0.0
2481,強茂,1000,0.0
