代號,名稱,股數,權重
2330,台灣積體,3400000,12.735
2327,國巨股份,6150000,10.323
2383,台光電子,850000,7.398
2408,南亞科技,8300000,5.928
8299,群聯電子,1430000,5.623
2454,聯發科技,740000,5.049
3037,欣興電子,3200000,4.814
6274,台燿科技,1350000,3.85
6223,旺矽科技,370000,3.689
2345,智邦科技,900000,3.406
5274,信驊科技,110000,3.241
2059,川湖科技,280000,2.987
7769,鴻勁精密,270000,2.927
2308,台達電子,800000,2.673
8996,高力熱處,940000,2.323
3017,奇鋐科技,600000,2.238
3189,景碩科技,1900000,2.138
4958,臻鼎-KY,2000000,1.996
6669,緯穎科技,250000,1.993
8046,南亞電路,1450000,1.97
2303,聯華電子,8500000,1.922
2492,華新科技,2200000,1.918
2368,金像電子,880000,1.853
3665,貿聯-KY,550000,1.795
3042,台灣晶技,5200000,1.746
8210,勤誠興業,800000,1.697
6515,穎崴科技,1000,0.015
3711,日月光投,9000,0.009
3653,健策精密,1000,0.006
6510,中華精測,1000,0.006
2382,廣達電腦,9000,0.005
2449,京元電子,9000,0.004
2317,鴻海精密,9000,0.004
2313,華通電腦,9000,0.004
2360,致茂電子,1000,0.004
2344,華邦電子,9000,0.003
2603,長榮海運,9000,0.003
5347,世界先進,9000,0.002
2337,旺宏電子,9000,0.002
3231,緯創資通,9000,0.002
2881,富邦金融,9000,0.002
2404,漢唐集成,1000,0.002
2882,國泰金融,9000,0.002
3324,雙鴻科技,1000,0.002
1519,華城電機,1000,0.001
2891,中國信託,9000,0.001
2885,元大金融,9000,0.001
3044,健鼎科技,1000,0.001
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
