代號,名稱,股數,權重
2330,台積電,10300000,15.47
3017,奇鋐,3150000,7.01
2454,聯發科,2110000,5.8
2383,台光電,1600000,5.4
3037,欣興,8460000,4.75
3653,健策,1115000,4.08
2303,聯電,50000000,4.05
6223,旺矽,1100000,3.53
3008,大立光,736000,3.39
6669,緯穎,2087956,3.34
2308,台達電,2750000,3.13
2345,智邦,2307000,3.02
2327,國巨*,8000000,2.8
3443,創意,650000,2.35
5274,信驊,210500,2.29
1303,南亞,13500000,1.9
8046,南電,2640000,1.74
3665,貿聯-KY,1293000,1.73
3189,景碩,3400000,1.73
6488,環球晶,2800000,1.71
3711,日月光投控,4500000,1.65
6274,台燿,1900000,1.62
8996,高力,1737000,1.41
2360,致茂,1000000,1.26
6239,力成,5360000,0.92
6805,富世達,650000,0.89
2317,鴻海,3200000,0.51
3211,順達,2000000,0.48
7769,鴻勁,130000,0.48
3450,聯鈞,1100000,0.4
6442,光聖,350000,0.38
3583,辛耘,800000,0.35
2059,川湖,35000,0.3
2882,國泰金,4000000,0.29
2449,京元電子,1700000,0.28
3533,嘉澤,250000,0.26
2481,強茂,2000000,0.19
2404,漢唐,250000,0.17
2344,華邦電,1500000,0.16
2455,全新,386000,0.13
8358,金居,400000,0.12
3264,欣銓,700000,0.1
1560,中砂,191000,0.08
2337,旺宏,1000000,0.08
1717,長興,1500000,0.07
2301,光寶科,300000,0.06
6285,啟碁,350000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
