代號,名稱,股數,權重
2330,台積電,10500000,15.59
3017,奇鋐,3150000,6.49
2454,聯發科,2110000,5.62
2383,台光電,1600000,5.43
3037,欣興,8460000,5.13
3653,健策,1115000,4.01
3008,大立光,810000,3.94
2303,聯電,50000000,3.92
6223,旺矽,1100000,3.62
6669,緯穎,2087956,3.39
2345,智邦,2307000,3.07
2308,台達電,2750000,2.96
2327,國巨*,8000000,2.69
3443,創意,650000,2.39
5274,信驊,189500,2.09
1303,南亞,13500000,2.0
8046,南電,2640000,1.97
3189,景碩,3400000,1.79
3665,貿聯-KY,1293000,1.75
6488,環球晶,2800000,1.69
6274,台燿,1900000,1.67
3711,日月光投控,4500000,1.65
8996,高力,1737000,1.37
2360,致茂,1000000,1.23
6805,富世達,850000,1.12
6239,力成,5360000,0.93
2344,華邦電,5000000,0.56
2317,鴻海,3200000,0.5
3211,順達,2000000,0.49
7769,鴻勁,130000,0.46
3450,聯鈞,1100000,0.41
3583,辛耘,800000,0.38
2059,川湖,35000,0.3
2449,京元電子,1700000,0.29
3533,嘉澤,250000,0.27
6442,光聖,225000,0.25
1717,長興,3100000,0.16
2404,漢唐,250000,0.16
2337,旺宏,2000000,0.15
8358,金居,400000,0.13
1560,中砂,300000,0.13
2455,全新,386000,0.13
3264,欣銓,700000,0.1
2882,國泰金,1200000,0.08
4966,譜瑞-KY,220000,0.08
2301,光寶科,300000,0.06
6285,啟碁,350000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
4958,臻鼎-KY,1000,0.0
2049,上銀,1000,0.0
2481,強茂,1000,0.0
