代號,名稱,股數,權重
2330,台積電,12900000,18.19
2303,聯電,75000000,7.41
2327,國巨*,10050000,6.15
3037,欣興,8960000,5.27
2344,華邦電,38800000,4.83
3017,奇鋐,3250000,4.42
2383,台光電,1350000,4.28
6223,旺矽,940000,3.68
2454,聯發科,1435000,3.36
2345,智邦,2100000,3.01
2368,金像電,3700000,2.65
2308,台達電,2430000,2.65
4958,臻鼎-KY,6440000,2.25
6669,緯穎,790000,2.04
3711,日月光投控,4500000,1.71
3653,健策,830000,1.7
6274,台燿,1700000,1.62
3533,嘉澤,1240000,1.57
3189,景碩,2940000,1.41
8996,高力,1560000,1.29
5347,世界,9911000,1.21
3443,創意,450000,1.2
6488,環球晶,2000000,1.13
7769,鴻勁,279000,1.09
6515,穎崴,200000,0.99
2337,旺宏,10000000,0.98
6147,頎邦,6000000,0.78
3529,力旺,390000,0.69
8358,金居,1950000,0.67
1303,南亞,7550000,0.67
6805,富世達,570000,0.56
2360,致茂,450000,0.55
8046,南電,795000,0.54
2317,鴻海,3200000,0.48
3583,辛耘,900000,0.44
5274,信驊,45000,0.42
3211,順達,1560000,0.37
1560,中砂,800000,0.34
6442,光聖,322000,0.33
4966,譜瑞-KY,900000,0.33
6196,帆宣,1000000,0.32
6415,矽力*-KY,900000,0.31
3665,貿聯-KY,250000,0.28
2049,上銀,1010000,0.19
2455,全新,450000,0.09
4979,華星光,300000,0.08
8299,群聯,1000,0.0
8210,勤誠,1000,0.0
3081,聯亞,1000,0.0
3105,穩懋,1000,0.0
