代號,名稱,股數,權重
2330,台積電,11600000,16.7
2303,聯電,76000000,5.87
3017,奇鋐,3450000,5.07
2383,台光電,1360000,4.01
3037,欣興,7600000,3.95
2344,華邦電,40000000,3.92
2454,聯發科,1730000,3.9
6223,旺矽,1000000,3.5
2308,台達電,3040000,3.27
2345,智邦,2260000,3.1
3711,日月光投控,6400000,2.38
2327,國巨*,6000000,2.3
6669,緯穎,600000,2.11
3653,健策,931000,2.01
4958,臻鼎-KY,6154000,1.77
6488,環球晶,2350000,1.53
3533,嘉澤,1240000,1.48
3189,景碩,3217000,1.4
6274,台燿,1680000,1.29
3443,創意,510000,1.27
8046,南電,1750000,1.15
1303,南亞,10700000,1.14
5274,信驊,124500,1.12
7769,鴻勁,300000,1.12
3665,貿聯-KY,750000,0.99
2368,金像電,1800000,0.99
8996,高力,1600000,0.98
2360,致茂,760000,0.98
2337,旺宏,10000000,0.77
6805,富世達,700000,0.62
6515,穎崴,149000,0.58
2317,鴻海,3200000,0.5
3211,順達,2000000,0.46
6239,力成,2600000,0.44
1560,中砂,1000000,0.42
3583,辛耘,900000,0.41
8358,金居,1750000,0.4
4966,譜瑞-KY,800000,0.3
6415,矽力*-KY,900000,0.25
2049,上銀,1010000,0.2
6442,光聖,225000,0.18
3008,大立光,60000,0.15
2404,漢唐,180000,0.12
3264,欣銓,600000,0.08
2455,全新,336000,0.07
3450,聯鈞,200000,0.05
6285,啟碁,250000,0.04
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
5347,世界,1000,0.0
