代號,名稱,股數,權重
2330,台積電,11100000,16.02
3017,奇鋐,3150000,6.31
3037,欣興,8460000,5.6
2383,台光電,1600000,5.24
2454,聯發科,2110000,5.01
2303,聯電,50000000,3.88
3653,健策,1087000,3.75
2327,國巨*,9785000,3.48
6223,旺矽,1100000,3.3
3008,大立光,760000,3.2
2308,台達電,2880000,3.14
6669,緯穎,700000,3.01
2345,智邦,2307000,2.92
3711,日月光投控,7000000,2.59
3189,景碩,4550000,2.44
3443,創意,650000,2.33
8046,南電,2640000,1.95
3665,貿聯-KY,1293000,1.74
6274,台燿,1900000,1.69
6488,環球晶,2800000,1.62
6805,富世達,1050000,1.47
1303,南亞,11000000,1.45
5274,信驊,149500,1.39
8996,高力,1737000,1.31
2344,華邦電,12000000,1.3
2360,致茂,1000000,1.2
6239,力成,5360000,0.92
7769,鴻勁,130000,0.5
3211,順達,2000000,0.48
2317,鴻海,3200000,0.48
3583,辛耘,800000,0.36
2337,旺宏,4500000,0.34
2059,川湖,35000,0.3
3533,嘉澤,250000,0.26
6442,光聖,225000,0.22
8358,金居,600000,0.19
2404,漢唐,250000,0.16
3450,聯鈞,400000,0.15
1717,長興,2800000,0.13
1560,中砂,300000,0.12
3264,欣銓,700000,0.1
4966,譜瑞-KY,220000,0.08
6285,啟碁,350000,0.05
2455,全新,200000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
4958,臻鼎-KY,1000,0.0
2049,上銀,1000,0.0
5347,世界,1000,0.0
2481,強茂,1000,0.0
