代號,名稱,股數,權重
2330,台灣積體,3500000,11.59
2327,國巨股份,6150000,8.704
2383,台光電子,850000,6.999
2454,聯發科技,900000,5.113
6223,旺矽科技,500000,4.997
2408,南亞科技,9000000,4.991
3037,欣興電子,3800000,4.987
8299,群聯電子,1500000,4.662
6274,台燿科技,1900000,4.606
2345,智邦科技,1000000,3.704
8046,南亞電路,2300000,3.691
2059,川湖科技,310000,3.359
2303,聯華電子,14000000,3.233
3189,景碩科技,2800000,3.159
6515,穎崴科技,210000,2.816
5274,信驊科技,120000,2.806
7769,鴻勁精密,300000,2.789
3711,日月光投,2900000,2.679
2492,華新科技,3200000,2.44
6669,緯穎科技,340000,2.424
3017,奇鋐科技,640000,2.392
4958,臻鼎-KY,1500000,1.245
2344,華邦電子,4800000,1.199
2404,漢唐集成,650000,1.188
8210,勤誠興業,410000,0.725
3665,貿聯-KY,260000,0.702
8996,高力熱處,121000,0.226
2308,台達電子,9000,0.025
2368,金像電子,9000,0.016
3653,健策精密,1000,0.005
2382,廣達電腦,9000,0.005
6510,中華精測,1000,0.004
2449,京元電子,9000,0.004
3042,台灣晶技,9000,0.003
2360,致茂電子,1000,0.003
2317,鴻海精密,9000,0.003
2313,華通電腦,9000,0.003
2603,長榮海運,9000,0.002
5347,世界先進,9000,0.002
3231,緯創資通,9000,0.002
2337,旺宏電子,9000,0.002
2881,富邦金融,9000,0.001
3324,雙鴻科技,1000,0.001
2882,國泰金融,9000,0.001
1519,華城電機,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
