代號,名稱,股數,權重
2330,台積電,9700000,15.41
2454,聯發科,2210000,6.72
3017,奇鋐,2850000,6.31
2303,聯電,60000000,6.04
3037,欣興,8460000,5.36
2383,台光電,1600000,5.05
6223,旺矽,1100000,4.12
3653,健策,1115000,3.98
2308,台達電,2750000,3.08
3443,創意,620000,2.86
2327,國巨*,8000000,2.84
2345,智邦,2307000,2.76
6669,緯穎,1987956,2.75
3189,景碩,4000000,2.15
1303,南亞,13500000,2.07
8046,南電,2770000,1.97
3665,貿聯-KY,1293000,1.85
6488,環球晶,2800000,1.71
6274,台燿,1900000,1.68
5274,信驊,120500,1.5
2360,致茂,1000000,1.48
8996,高力,1580000,1.46
3008,大立光,280000,1.16
6805,富世達,762000,1.13
2408,南亞科,2000000,0.68
7769,鴻勁,130000,0.55
2317,鴻海,3200000,0.52
6239,力成,2800000,0.51
2449,京元電子,2600000,0.49
3211,順達,2000000,0.48
3450,聯鈞,1300000,0.45
2059,川湖,55000,0.44
3711,日月光投控,1000000,0.41
6442,光聖,350000,0.36
3583,辛耘,800000,0.36
2481,強茂,3000000,0.33
2882,國泰金,4000000,0.29
2404,漢唐,250000,0.18
2455,全新,386000,0.14
1560,中砂,191000,0.11
3533,嘉澤,80000,0.08
1717,長興,1500000,0.07
6285,啟碁,350000,0.05
2301,光寶科,300000,0.05
8358,金居,100000,0.03
3264,欣銓,1000,0.0
2337,旺宏,1000,0.0
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
2344,華邦電,1000,0.0
