代號,名稱,股數,權重
2330,台積電,8400000,13.73
2454,聯發科,2210000,7.49
3017,奇鋐,2850000,6.47
3037,欣興,8460000,6.42
2303,聯電,60000000,6.28
2383,台光電,1600000,5.25
3653,健策,1115000,4.67
6223,旺矽,1100000,4.04
2308,台達電,2900000,3.6
3443,創意,646000,3.54
2327,國巨*,8000000,3.0
6669,緯穎,1827956,2.52
3189,景碩,4000000,2.37
2345,智邦,1900000,2.35
8046,南電,2770000,2.19
1303,南亞,13500000,2.01
3665,貿聯-KY,1293000,1.98
6274,台燿,1900000,1.81
6488,環球晶,2800000,1.74
8996,高力,1625000,1.64
6805,富世達,840000,1.43
5274,信驊,95500,1.27
3008,大立光,280000,1.13
2408,南亞科,2800000,0.94
2449,京元電子,4000000,0.8
2360,致茂,470000,0.71
2059,川湖,75000,0.61
2317,鴻海,3200000,0.54
3450,聯鈞,1500000,0.51
3211,順達,2000000,0.5
3583,辛耘,800000,0.36
6442,光聖,350000,0.35
2481,強茂,3000000,0.34
7769,鴻勁,80000,0.31
2882,國泰金,4000000,0.29
2455,全新,386000,0.14
1560,中砂,191000,0.12
2301,光寶科,300000,0.06
6285,啟碁,350000,0.05
1717,長興,900000,0.04
8358,金居,100000,0.03
3264,欣銓,1000,0.0
2337,旺宏,1000,0.0
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
6239,力成,1000,0.0
2049,上銀,1000,0.0
2404,漢唐,1000,0.0
2344,華邦電,1000,0.0
3711,日月光投控,1000,0.0
