代號,名稱,股數,權重
2330,台積電,12800000,18.93
2303,聯電,75000000,6.97
3017,奇鋐,3450000,4.9
2344,華邦電,40000000,4.0
6223,旺矽,1000000,3.62
3037,欣興,7064000,3.62
2454,聯發科,1650000,3.59
2383,台光電,1140000,3.31
2327,國巨*,7000000,3.16
2308,台達電,2700000,3.03
2345,智邦,2170000,2.93
3711,日月光投控,6150000,2.44
6669,緯穎,790000,2.36
4958,臻鼎-KY,6934000,2.33
6488,環球晶,2250000,1.8
2368,金像電,2750000,1.65
3653,健策,780000,1.62
3533,嘉澤,1240000,1.49
3189,景碩,3217000,1.44
8046,南電,1750000,1.3
6274,台燿,1700000,1.28
1303,南亞,9900000,1.27
3443,創意,480000,1.19
7769,鴻勁,279000,1.09
8996,高力,1600000,1.05
2337,旺宏,10000000,0.81
2360,致茂,680000,0.81
5274,信驊,94500,0.79
6515,穎崴,171000,0.67
6805,富世達,570000,0.5
2317,鴻海,3200000,0.48
3211,順達,1800000,0.45
8358,金居,1750000,0.45
3583,辛耘,900000,0.43
3665,貿聯-KY,300000,0.34
1560,中砂,750000,0.32
4966,譜瑞-KY,800000,0.3
6442,光聖,300000,0.25
6415,矽力*-KY,900000,0.25
2049,上銀,1010000,0.2
6239,力成,900000,0.17
3008,大立光,60000,0.16
2404,漢唐,140000,0.1
3264,欣銓,600000,0.08
2455,全新,450000,0.08
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
8210,勤誠,1000,0.0
6147,頎邦,1000,0.0
5347,世界,1000,0.0
