代號,名稱,股數,權重
2330,台灣積體,3400000,11.769
2327,國巨股份,6150000,10.02
2383,台光電子,850000,6.943
2408,南亞科技,8800000,6.079
8299,群聯電子,1500000,5.377
2454,聯發科技,850000,5.306
3037,欣興電子,3350000,4.949
6274,台燿科技,1700000,4.186
6223,旺矽科技,415000,4.15
2345,智邦科技,940000,3.24
2059,川湖科技,300000,3.178
5274,信驊科技,120000,3.028
7769,鴻勁精密,290000,2.906
8046,南亞電路,1900000,2.876
3189,景碩科技,2400000,2.822
2492,華新科技,3200000,2.776
2303,聯華電子,10000000,2.585
2344,華邦電子,7600000,2.416
3711,日月光投,2600000,2.414
6515,穎崴科技,180000,2.372
8996,高力熱處,620000,1.311
4958,臻鼎-KY,1500000,1.308
8210,勤誠興業,690000,1.284
3665,貿聯-KY,450000,1.251
6669,緯穎科技,185000,1.218
3017,奇鋐科技,9000,0.033
2308,台達電子,9000,0.026
2368,金像電子,9000,0.016
3653,健策精密,1000,0.005
6510,中華精測,1000,0.005
2382,廣達電腦,9000,0.005
2449,京元電子,9000,0.004
2317,鴻海精密,9000,0.003
2360,致茂電子,1000,0.003
2313,華通電腦,9000,0.003
5347,世界先進,9000,0.003
3042,台灣晶技,9000,0.002
2603,長榮海運,9000,0.002
2337,旺宏電子,9000,0.002
3231,緯創資通,9000,0.002
2404,漢唐集成,1000,0.002
2881,富邦金融,9000,0.002
2882,國泰金融,9000,0.001
3324,雙鴻科技,1000,0.001
1519,華城電機,1000,0.001
2891,中國信託,9000,0.001
2885,元大金融,9000,0.001
3044,健鼎科技,1000,0.001
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
