代號,名稱,股數,權重
2330,台灣積體,5400000,14.278
2383,台光電子,1430000,8.481
2408,南亞科技,14000000,7.184
2059,川湖科技,500000,5.646
3037,欣興電子,5000000,5.439
6223,旺矽科技,720000,5.071
2454,聯發科技,1150000,5.04
2327,國巨股份,7700000,4.907
2345,智邦科技,1800000,4.85
6669,緯穎科技,570000,3.992
3017,奇鋐科技,1200000,3.944
6274,台燿科技,2300000,3.934
8046,南亞電路,3000000,3.706
3189,景碩科技,3600000,3.433
3711,日月光投,4600000,3.06
8299,群聯電子,1300000,2.943
7769,鴻勁精密,400000,2.896
5274,信驊科技,120500,2.257
3665,貿聯-KY,760000,2.014
3231,緯創資通,9000000,1.907
3026,禾伸堂企,2700000,1.79
3653,健策精密,325000,1.617
2885,元大金融,6100000,0.458
3008,大立光電,1000,0.005
2382,廣達電腦,9000,0.003
2317,鴻海精密,9000,0.003
2360,致茂電子,1000,0.002
2603,長榮海運,9000,0.002
2308,台達電子,1000,0.002
5347,世界先進,9000,0.002
2404,漢唐集成,1000,0.001
2881,富邦金融,9000,0.001
2882,國泰金融,9000,0.001
2357,華碩電腦,1000,0.001
2379,瑞昱半導,1000,0.001
2891,中國信託,9000,0.001
2886,兆豐金融,9000,0.001
2880,華南金融,9000,0.0
2449,京元電子,1450,0.0
3044,健鼎科技,1000,0.0
2887,台新新光,9000,0.0
2890,永豐金融,9000,0.0
2883,凱基金融,9000,0.0
2884,玉山金融,9000,0.0
2313,華通電腦,1253,0.0
3036,文曄科技,1000,0.0
2912,統一超商,1000,0.0
2412,中華電信,1000,0.0
3045,台灣大哥,1000,0.0
1216,統一企業,1000,0.0
