代號,名稱,股數,權重
2330,台積電,11600000,16.91
2303,聯電,76000000,5.52
3017,奇鋐,3450000,4.94
2383,台光電,1360000,3.84
3037,欣興,7600000,3.71
2344,華邦電,40000000,3.68
2454,聯發科,1730000,3.67
6223,旺矽,1000000,3.3
2308,台達電,3040000,3.07
2345,智邦,2260000,2.95
3711,日月光投控,6400000,2.27
2327,國巨*,6000000,2.16
6669,緯穎,600000,2.04
3653,健策,931000,2.01
4958,臻鼎-KY,6154000,1.68
3533,嘉澤,1240000,1.46
6488,環球晶,2350000,1.44
3189,景碩,3217000,1.31
6274,台燿,1680000,1.21
3443,創意,510000,1.19
3665,貿聯-KY,825000,1.17
7769,鴻勁,300000,1.1
8046,南電,1750000,1.09
1303,南亞,10700000,1.07
5274,信驊,124500,1.05
2360,致茂,760000,0.94
8996,高力,1600000,0.93
2368,金像電,1800000,0.93
2337,旺宏,10000000,0.72
6805,富世達,700000,0.6
6515,穎崴,149000,0.57
2317,鴻海,3200000,0.49
3211,順達,2000000,0.43
6239,力成,2600000,0.42
1560,中砂,1000000,0.41
3583,辛耘,900000,0.4
8358,金居,1750000,0.37
4966,譜瑞-KY,800000,0.3
6415,矽力*-KY,834000,0.22
3008,大立光,80000,0.2
2049,上銀,1010000,0.19
6442,光聖,225000,0.18
2404,漢唐,180000,0.12
3450,聯鈞,300000,0.08
3264,欣銓,600000,0.07
2455,全新,336000,0.07
6285,啟碁,250000,0.04
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
5347,世界,1000,0.0
