代號,名稱,股數,權重
2330,台積電,11000000,16.22
3017,奇鋐,3150000,6.62
2383,台光電,1600000,5.38
3037,欣興,8460000,5.18
2454,聯發科,2110000,5.08
3653,健策,1115000,4.1
2303,聯電,50000000,3.96
3008,大立光,810000,3.8
6223,旺矽,1100000,3.46
2327,國巨*,9785000,3.27
2308,台達電,2880000,3.25
6669,緯穎,700000,3.05
2345,智邦,2307000,2.88
3711,日月光投控,7000000,2.51
3443,創意,650000,2.43
8046,南電,2640000,1.99
3665,貿聯-KY,1293000,1.72
3189,景碩,3400000,1.71
6274,台燿,1900000,1.67
1303,南亞,11000000,1.64
6488,環球晶,2800000,1.57
6805,富世達,1050000,1.48
5274,信驊,149500,1.47
2344,華邦電,12000000,1.34
8996,高力,1737000,1.25
2360,致茂,1000000,1.2
6239,力成,5360000,0.91
2317,鴻海,3200000,0.49
3211,順達,2000000,0.47
7769,鴻勁,130000,0.47
3583,辛耘,800000,0.36
2337,旺宏,4500000,0.35
2059,川湖,35000,0.3
3533,嘉澤,250000,0.26
6442,光聖,225000,0.22
8358,金居,600000,0.2
3450,聯鈞,400000,0.16
2404,漢唐,250000,0.16
1717,長興,2800000,0.14
1560,中砂,300000,0.13
2455,全新,386000,0.11
3264,欣銓,700000,0.1
4966,譜瑞-KY,220000,0.08
2449,京元電子,500000,0.08
6285,啟碁,350000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
4958,臻鼎-KY,1000,0.0
2049,上銀,1000,0.0
5347,世界,1000,0.0
2481,強茂,1000,0.0
