代號,名稱,股數,權重
2330,台積電,12680000,18.45
2303,聯電,76000000,5.52
3017,奇鋐,3450000,4.8
2383,台光電,1405000,4.0
2454,聯發科,1795000,3.83
3037,欣興,7600000,3.59
6223,旺矽,1000000,3.17
2344,華邦電,40000000,3.12
2308,台達電,3040000,2.99
2345,智邦,2290000,2.92
3711,日月光投控,6400000,2.13
3653,健策,990000,2.05
6669,緯穎,600000,1.94
2327,國巨*,6000000,1.81
4958,臻鼎-KY,6154000,1.53
3533,嘉澤,1240000,1.38
5274,信驊,144500,1.26
6488,環球晶,2411000,1.24
3189,景碩,3217000,1.23
3443,創意,510000,1.16
2360,致茂,897000,1.13
6274,台燿,1680000,1.12
3665,貿聯-KY,880000,1.11
7769,鴻勁,300000,1.11
8046,南電,1750000,0.97
8996,高力,1600000,0.82
6805,富世達,700000,0.57
2317,鴻海,3200000,0.48
2337,旺宏,7498000,0.45
1303,南亞,4587000,0.44
1560,中砂,1113000,0.43
6239,力成,3026000,0.43
3211,順達,2000000,0.35
3583,辛耘,900000,0.35
3008,大立光,140000,0.34
4966,譜瑞-KY,800000,0.27
8358,金居,1312000,0.23
6515,穎崴,59000,0.21
2049,上銀,1010000,0.18
6442,光聖,225000,0.16
2404,漢唐,220000,0.15
6415,矽力*-KY,624000,0.15
3264,欣銓,700000,0.07
3450,聯鈞,300000,0.07
2455,全新,336000,0.06
2481,強茂,869000,0.06
6285,啟碁,250000,0.03
1717,長興,200000,0.01
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
5347,世界,1000,0.0
