代號,名稱,股數,權重
2330,台灣積體,5400000,15.139
2383,台光電子,1330000,7.296
2408,南亞科技,13000000,5.418
2454,聯發科技,1080000,4.439
2327,國巨股份,7500000,4.353
2345,智邦科技,1700000,4.176
6223,旺矽科技,680000,4.151
2059,川湖科技,450000,4.084
3037,欣興電子,4250000,3.867
6669,緯穎科技,520000,3.24
8046,南亞電路,3000000,3.191
6274,台燿科技,2150000,2.759
3711,日月光投,4200000,2.695
3017,奇鋐科技,1000000,2.682
7769,鴻勁精密,360000,2.572
3189,景碩科技,3200000,2.349
8299,群聯電子,1200000,2.275
2360,致茂電子,700000,1.699
5274,信驊科技,100500,1.688
2308,台達電子,860000,1.631
3665,貿聯-KY,640000,1.554
3026,禾伸堂企,2700000,1.405
2404,漢唐集成,799000,1.016
3653,健策精密,100000,0.398
3008,大立光電,1000,0.005
2382,廣達電腦,9000,0.003
2317,鴻海精密,9000,0.003
2603,長榮海運,9000,0.002
3231,緯創資通,9000,0.002
5347,世界先進,9000,0.002
2881,富邦金融,9000,0.001
2882,國泰金融,9000,0.001
2357,華碩電腦,1000,0.001
2379,瑞昱半導,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
2886,兆豐金融,9000,0.001
2884,玉山金融,9000,0.0
2880,華南金融,9000,0.0
2890,永豐金融,9000,0.0
3044,健鼎科技,1000,0.0
2883,凱基金融,9000,0.0
2449,京元電子,1450,0.0
2887,台新新光,9000,0.0
3036,文曄科技,1000,0.0
2912,統一超商,1000,0.0
2313,華通電腦,1253,0.0
2412,中華電信,1000,0.0
3045,台灣大哥,1000,0.0
1216,統一企業,1000,0.0
