代號,名稱,股數,權重
2330,台積電,12800000,18.78
2303,聯電,75000000,6.14
3017,奇鋐,3450000,4.87
2344,華邦電,40000000,3.79
2454,聯發科,1680000,3.75
2383,台光電,1260000,3.7
3037,欣興,7142000,3.59
6223,旺矽,1000000,3.58
2308,台達電,2820000,3.15
2345,智邦,2200000,2.97
3711,日月光投控,6400000,2.47
2327,國巨*,6000000,2.45
6669,緯穎,790000,2.4
4958,臻鼎-KY,6934000,2.15
3653,健策,874000,1.87
6488,環球晶,2350000,1.72
3533,嘉澤,1240000,1.53
3189,景碩,3217000,1.46
8046,南電,1750000,1.27
6274,台燿,1680000,1.26
2368,金像電,2060000,1.23
3443,創意,480000,1.2
7769,鴻勁,300000,1.19
1303,南亞,9900000,1.18
8996,高力,1600000,0.96
5274,信驊,109500,0.94
2360,致茂,680000,0.83
2337,旺宏,10000000,0.75
6515,穎崴,149000,0.6
6805,富世達,620000,0.53
2317,鴻海,3200000,0.48
3665,貿聯-KY,376000,0.46
3211,順達,1800000,0.42
8358,金居,1750000,0.42
3583,辛耘,900000,0.41
1560,中砂,750000,0.31
4966,譜瑞-KY,800000,0.28
6415,矽力*-KY,900000,0.25
6239,力成,1400000,0.23
2049,上銀,1010000,0.19
6442,光聖,225000,0.17
3008,大立光,60000,0.15
2404,漢唐,140000,0.1
3264,欣銓,600000,0.08
2455,全新,336000,0.06
6285,啟碁,100000,0.01
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
6147,頎邦,1000,0.0
5347,世界,1000,0.0
