代號,名稱,股數,權重
2330,台積電,12680000,17.14
3017,奇鋐,3450000,5.48
2303,聯電,79000000,5.23
3037,欣興,8460000,4.61
2383,台光電,1495000,4.47
2454,聯發科,2000000,4.45
2344,華邦電,42300000,3.94
6223,旺矽,1050000,3.65
2345,智邦,2307000,2.91
2308,台達電,3040000,2.86
3653,健策,1030000,2.57
3711,日月光投控,7500000,2.5
2327,國巨*,8000000,2.46
3189,景碩,4250000,1.99
6669,緯穎,500000,1.74
5274,信驊,184500,1.72
3665,貿聯-KY,1200000,1.51
4958,臻鼎-KY,5200000,1.4
6274,台燿,1680000,1.38
3533,嘉澤,1240000,1.35
3443,創意,510000,1.32
6488,環球晶,2646000,1.32
8046,南電,1750000,1.08
2360,致茂,897000,1.04
8996,高力,1600000,0.95
6239,力成,5330000,0.8
7769,鴻勁,200000,0.72
6805,富世達,700000,0.67
3008,大立光,260000,0.65
1560,中砂,1500000,0.57
2337,旺宏,7498000,0.52
2317,鴻海,3200000,0.47
3211,順達,2000000,0.39
3450,聯鈞,1400000,0.38
3583,辛耘,900000,0.36
8358,金居,1312000,0.26
2049,上銀,1010000,0.22
6442,光聖,225000,0.17
4966,譜瑞-KY,500000,0.17
2404,漢唐,250000,0.16
1303,南亞,1000000,0.11
3264,欣銓,700000,0.08
6415,矽力*-KY,300000,0.08
2481,強茂,1100000,0.08
2455,全新,336000,0.07
1717,長興,1500000,0.06
6285,啟碁,350000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
5347,世界,1000,0.0
