代號,名稱,股數,權重
2330,台積電,11600000,16.82
2303,聯電,76000000,6.0
3017,奇鋐,3450000,5.07
2454,聯發科,1730000,4.0
3037,欣興,7600000,3.93
2383,台光電,1330000,3.9
2344,華邦電,40000000,3.81
6223,旺矽,1000000,3.52
2308,台達電,3040000,3.35
2345,智邦,2260000,3.1
3711,日月光投控,6400000,2.42
2327,國巨*,6000000,2.38
6669,緯穎,600000,2.12
3653,健策,931000,1.97
4958,臻鼎-KY,6154000,1.83
3533,嘉澤,1240000,1.51
6488,環球晶,2350000,1.49
3189,景碩,3217000,1.41
6274,台燿,1680000,1.3
3443,創意,510000,1.28
8046,南電,1750000,1.2
1303,南亞,10700000,1.17
5274,信驊,124500,1.13
7769,鴻勁,300000,1.12
2368,金像電,1800000,1.0
8996,高力,1600000,0.99
2360,致茂,760000,0.98
3665,貿聯-KY,680000,0.93
2337,旺宏,10000000,0.77
6805,富世達,700000,0.61
6515,穎崴,149000,0.58
2317,鴻海,3200000,0.5
3211,順達,2000000,0.47
6239,力成,2600000,0.45
8358,金居,1750000,0.4
3583,辛耘,900000,0.4
1560,中砂,750000,0.31
4966,譜瑞-KY,800000,0.3
6415,矽力*-KY,900000,0.26
2049,上銀,1010000,0.2
6442,光聖,225000,0.18
3008,大立光,60000,0.15
2404,漢唐,180000,0.12
3264,欣銓,600000,0.08
2455,全新,336000,0.07
6285,啟碁,250000,0.04
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
6147,頎邦,1000,0.0
5347,世界,1000,0.0
