代號,名稱,股數,權重
2330,台灣積體,4200000,13.369
2383,台光電子,1250000,7.537
2327,國巨股份,7200000,6.223
2408,南亞科技,10100000,5.28
2454,聯發科技,1000000,4.582
8046,南亞電路,2900000,4.397
3037,欣興電子,4250000,4.373
6223,旺矽科技,580000,4.341
2345,智邦科技,1500000,4.301
2059,川湖科技,400000,4.253
3711,日月光投,4000000,3.276
6274,台燿科技,2100000,3.241
7769,鴻勁精密,360000,2.966
3189,景碩科技,3000000,2.795
6669,緯穎科技,420000,2.7
8299,群聯電子,1100000,2.618
2303,聯華電子,14000000,2.497
3017,奇鋐科技,800000,2.343
3026,禾伸堂企,2200000,1.874
6515,穎崴科技,220000,1.826
2492,華新科技,3600000,1.368
3665,貿聯-KY,460000,1.149
5274,信驊科技,62500,1.107
2404,漢唐集成,650000,1.012
2344,華邦電子,4800000,0.994
2308,台達電子,9000,0.021
2368,金像電子,9000,0.011
4958,臻鼎-KY,9000,0.006
3653,健策精密,1000,0.004
2382,廣達電腦,9000,0.004
6510,中華精測,1000,0.004
2449,京元電子,9000,0.003
2317,鴻海精密,9000,0.003
2313,華通電腦,9253,0.003
2360,致茂電子,1000,0.003
2603,長榮海運,9000,0.002
3042,台灣晶技,9000,0.002
5347,世界先進,9000,0.002
3231,緯創資通,9000,0.002
2881,富邦金融,9000,0.002
2337,旺宏電子,9000,0.001
8210,勤誠興業,1000,0.001
8996,高力熱處,1000,0.001
2882,國泰金融,9000,0.001
1519,華城電機,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
2883,凱基金融,9000,0.0
3036,文曄科技,1000,0.0
