代號,名稱,股數,權重
2330,台灣積體,4200000,13.497
2383,台光電子,1200000,7.92
2327,國巨股份,6900000,7.129
2408,南亞科技,9800000,5.83
3037,欣興電子,4100000,4.759
6223,旺矽科技,560000,4.715
8046,南亞電路,2700000,4.625
2454,聯發科技,950000,4.617
8299,群聯電子,1500000,4.083
2059,川湖科技,360000,3.822
6274,台燿科技,2000000,3.705
2345,智邦科技,1200000,3.633
3189,景碩科技,2800000,2.993
2303,聯華電子,14000000,2.807
3711,日月光投,3200000,2.724
7769,鴻勁精密,320000,2.718
6669,緯穎科技,350000,2.28
3026,禾伸堂企,2000000,2.165
6515,穎崴科技,220000,2.057
2492,華新科技,3600000,1.864
3017,奇鋐科技,660000,1.858
5274,信驊科技,62500,1.078
2344,華邦電子,4800000,1.049
2404,漢唐集成,650000,1.023
3665,貿聯-KY,260000,0.613
2308,台達電子,9000,0.022
2368,金像電子,9000,0.012
4958,臻鼎-KY,9000,0.008
2382,廣達電腦,9000,0.005
3653,健策精密,1000,0.004
6510,中華精測,1000,0.004
2449,京元電子,9000,0.003
2317,鴻海精密,9000,0.003
2313,華通電腦,9253,0.003
2360,致茂電子,1000,0.002
2603,長榮海運,9000,0.002
3042,台灣晶技,9000,0.002
5347,世界先進,9000,0.002
3231,緯創資通,9000,0.002
2337,旺宏電子,9000,0.002
8996,高力熱處,1000,0.002
8210,勤誠興業,1000,0.001
2881,富邦金融,9000,0.001
2882,國泰金融,9000,0.001
1519,華城電機,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
2883,凱基金融,9000,0.0
3036,文曄科技,1000,0.0
