代號,名稱,股數,權重
2330,台積電,12900000,18.37
2303,聯電,74000000,7.19
2327,國巨*,10050000,5.86
3037,欣興,8960000,4.99
2344,華邦電,38800000,4.69
3017,奇鋐,3250000,4.51
2383,台光電,1350000,4.4
2454,聯發科,1400000,3.63
6223,旺矽,900000,3.44
2368,金像電,4700000,3.4
2345,智邦,2100000,2.92
2308,台達電,2430000,2.89
4958,臻鼎-KY,6440000,2.16
6669,緯穎,790000,2.11
3653,健策,830000,1.82
3711,日月光投控,4500000,1.7
6274,台燿,1700000,1.69
2337,旺宏,16350000,1.61
3533,嘉澤,1240000,1.58
8996,高力,1560000,1.29
3443,創意,430000,1.16
6488,環球晶,2000000,1.16
7769,鴻勁,279000,1.09
6515,穎崴,200000,1.08
5347,世界,9911000,1.06
6147,頎邦,6000000,0.89
8358,金居,1950000,0.73
3529,力旺,390000,0.71
1303,南亞,7550000,0.67
6442,光聖,570000,0.65
3189,景碩,1572000,0.65
6805,富世達,570000,0.58
2360,致茂,450000,0.58
3665,貿聯-KY,500000,0.57
5274,信驊,45000,0.48
2317,鴻海,3200000,0.47
3583,辛耘,900000,0.45
8046,南電,795000,0.41
3211,順達,1560000,0.38
4966,譜瑞-KY,900000,0.34
6415,矽力*-KY,900000,0.33
1560,中砂,800000,0.32
6196,帆宣,1000000,0.31
3081,聯亞,240000,0.31
2049,上銀,1010000,0.2
4979,華星光,600000,0.18
2455,全新,450000,0.1
8299,群聯,1000,0.0
8210,勤誠,1000,0.0
3105,穩懋,1000,0.0
