代號,名稱,股數,權重
2330,台積電,12800000,19.08
2303,聯電,75000000,6.26
3017,奇鋐,3450000,4.73
2344,華邦電,40000000,3.88
2454,聯發科,1650000,3.54
6223,旺矽,1000000,3.5
3037,欣興,7064000,3.4
2383,台光電,1140000,3.22
2308,台達電,2700000,2.96
2345,智邦,2170000,2.91
2327,國巨*,6000000,2.43
6669,緯穎,790000,2.38
3711,日月光投控,6150000,2.36
4958,臻鼎-KY,6934000,2.13
6488,環球晶,2350000,1.91
3653,健策,800000,1.64
3533,嘉澤,1240000,1.52
3189,景碩,3217000,1.4
8046,南電,1750000,1.24
2368,金像電,2060000,1.23
6274,台燿,1700000,1.23
1303,南亞,9900000,1.19
3443,創意,480000,1.15
7769,鴻勁,279000,1.08
8996,高力,1600000,1.0
5274,信驊,109500,0.91
2360,致茂,680000,0.8
2337,旺宏,10000000,0.75
6515,穎崴,161000,0.63
6805,富世達,570000,0.48
2317,鴻海,3200000,0.48
8358,金居,1750000,0.42
3665,貿聯-KY,360000,0.42
3583,辛耘,900000,0.42
3211,順達,1800000,0.41
1560,中砂,750000,0.31
4966,譜瑞-KY,800000,0.29
6415,矽力*-KY,900000,0.25
6442,光聖,300000,0.24
2049,上銀,1010000,0.19
3008,大立光,60000,0.15
6239,力成,900000,0.15
2404,漢唐,140000,0.1
3264,欣銓,600000,0.08
2455,全新,336000,0.06
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
8210,勤誠,1000,0.0
6147,頎邦,1000,0.0
5347,世界,1000,0.0
