代號,名稱,股數,權重
2330,台積電,12800000,18.64
2303,聯電,75000000,7.37
2327,國巨*,10050000,5.98
3017,奇鋐,3450000,5.45
2344,華邦電,39600000,4.29
3037,欣興,7500000,4.07
6223,旺矽,1000000,4.06
2383,台光電,1140000,3.69
2454,聯發科,1490000,3.64
2345,智邦,2100000,3.29
2308,台達電,2430000,2.87
6669,緯穎,790000,2.35
3711,日月光投控,5600000,2.25
4958,臻鼎-KY,6440000,2.21
2368,金像電,2750000,1.99
6274,台燿,1700000,1.64
6488,環球晶,2000000,1.58
3533,嘉澤,1240000,1.56
3653,健策,780000,1.53
3189,景碩,3217000,1.45
8996,高力,1560000,1.32
3443,創意,480000,1.31
7769,鴻勁,279000,1.12
6515,穎崴,200000,1.06
2337,旺宏,10000000,0.86
1303,南亞,7550000,0.83
8358,金居,1950000,0.65
2360,致茂,450000,0.58
6805,富世達,570000,0.53
8046,南電,795000,0.51
2317,鴻海,3200000,0.46
3583,辛耘,900000,0.46
3211,順達,1800000,0.45
3529,力旺,269000,0.45
1560,中砂,1000000,0.44
5274,信驊,45000,0.43
6196,帆宣,1000000,0.34
6415,矽力*-KY,900000,0.33
4966,譜瑞-KY,800000,0.3
6442,光聖,300000,0.28
2049,上銀,1010000,0.22
3665,貿聯-KY,166000,0.19
6239,力成,900000,0.18
6147,頎邦,1000000,0.13
3264,欣銓,600000,0.09
2455,全新,450000,0.09
8299,群聯,1000,0.0
8210,勤誠,1000,0.0
4979,華星光,1000,0.0
5347,世界,1000,0.0
